eTrappedCharge(C1(n63958_0s_des)) X,eTrappedCharge(C1(n63958_0s_des)) Y,eTrappedCharge(C2(n63958_0s_des)) X,eTrappedCharge(C2(n63958_0s_des)) Y,eTrappedCharge(C3(n63958_0s_des)) X,eTrappedCharge(C3(n63958_0s_des)) Y,eTrappedCharge(C4(n63958_0s_des)) X,eTrappedCharge(C4(n63958_0s_des)) Y,hTrappedCharge(C1(n63958_0s_des)) X,hTrappedCharge(C1(n63958_0s_des)) Y,hTrappedCharge(C2(n63958_0s_des)) X,hTrappedCharge(C2(n63958_0s_des)) Y,hTrappedCharge(C3(n63958_0s_des)) X,hTrappedCharge(C3(n63958_0s_des)) Y,hTrappedCharge(C4(n63958_0s_des)) X,hTrappedCharge(C4(n63958_0s_des)) Y
0.039015625,0,0.039009377,1.2803862e+10,0.039002936,7.0070801e+09,0.039013654,4113128.8,0.039015625,0,0.039009377,1.9924569e+19,0.039002936,4.056063e+19,0.039013654,6.3005277e+18
0.039024122,0,0.039015625,0,0.039015625,0,0.039015625,0,0.039024122,0,0.039015625,0,0.039015625,0,0.039015625,0
0.039031249,0,0.039025001,0,0.03901856,0,0.039029278,0,0.039031249,0,0.039025001,0,0.03901856,0,0.039029278,0
0.039048247,0,0.039031249,0,0.039031249,0,0.039031249,0,0.039048247,0,0.039031249,0,0.039031249,0,0.039031249,0
0.0390625,0,0.039050005,0,0.039037116,0,0.039058555,0,0.0390625,0,0.039050005,0,0.039037116,0,0.039058555,0
0.039096493,0,0.0390625,0,0.0390625,0,0.0390625,0,0.039096493,0,0.0390625,0,0.0390625,0,0.0390625,0
0.039124999,0,0.03910001,0,0.039074235,0,0.039117113,0,0.039124999,0,0.03910001,0,0.039074235,0,0.039117113,0
0.039192989,0,0.039124999,0,0.039124999,0,0.039124999,0,0.039192989,0,0.039124999,0,0.039124999,0,0.039124999,0
0.039250001,0,0.039200023,0,0.039148472,0,0.039234228,0,0.039250001,0,0.039200023,0,0.039148472,0,0.039234228,0
0.039385978,0,0.039250001,0,0.039250001,0,0.039250001,0,0.039385978,0,0.039250001,0,0.039250001,0,0.039250001,0
